target_id	length	eff_length	est_counts	tpm
YAL001C	3483	3254.05	797	5.04885
YAL002W	3825	3596.05	404	2.31587
YAL003W	621	392.046	37015	1946.25
YAL004W	648	419.046	0	0
YAL005C	1929	1700.05	99958.3	1212.04
YAL007C	648	419.046	1621	79.7406
YAL008W	597	368.046	440	24.6439
YAL009W	780	551.046	332	12.4196
YAL010C	1482	1253.05	244	4.01403
YAL011W	1878	1649.05	348	4.35015
YAL012W	1185	956.046	8153	175.791
YAL013W	1218	989.046	668	13.9225
YAL014C	768	539.046	810	30.9754
YAL015C	1200	971.046	711	15.0934
YAL016C-A	315	86.8274	261.053	61.9768
YAL016C-B	186	66.6965	0	0
YAL016W	1908	1679.05	2501.95	30.7166
YAL017W	4071	3842.05	1600	8.58451
YAL018C	978	749.046	5	0.1376
YAL019W	3396	3167.05	1459	9.4964
YAL019W-A	570	341.046	39.6611	2.39723
YAL020C	1002	773.046	243.339	6.4888
YAL021C	2514	2285.05	1883	16.9869
YAL022C	1554	1325.05	743	11.5589
YAL023C	2280	2051.05	7637	76.7548
YAL024C	4308	4079.05	350	1.76875
YAL025C	921	692.046	1364	40.6291
YAL026C	4068	3839.05	1156.58	6.21027
YAL026C-A	438	209.122	10.4191	1.02704
YAL027W	786	557.046	146	5.40281
YAL028W	1587	1358.05	337	5.11533
YAL029C	4416	4187.05	1017	5.00693
YAL030W	354	125.692	726	119.065
YAL031C	2283	2054.05	669.996	6.72388
YAL031W-A	309	80.8525	44.0042	11.2191
YAL032C	1140	911.046	418	9.45789
YAL033W	522	293.079	358	25.1801
YAL034C	1242	1013.05	611	12.4328
YAL034C-B	354	125.692	6.15601	1.0096
YAL034W-A	870	641.046	169.844	5.46159
YAL035W	3009	2780.05	12330	91.4259
YAL036C	1110	881.046	3095	72.4136
YAL037C-A	93	24.3938	1	0.845043
YAL037C-B	975	746.046	19149.9	529.125
YAL037W	804	575.046	72	2.581
YAL038W	1503	1274.05	182762	2957.05
YAL039C	810	581.046	538	19.0867
YAL040C	1743	1514.05	1032	14.0507
YAL041W	2565	2336.05	737	6.50346
YAL042C-A	378	149.569	371.395	51.1863
YAL042W	1248	1019.05	3330.6	67.3732
YAL043C	2358	2129.05	798	7.72638
YAL044C	513	284.079	1152	83.5933
YAL044W-A	333	104.797	298.387	58.6931
YAL045C	309	80.8525	104.613	26.6717
YAL046C	357	128.654	264	42.2999
YAL047C	1869	1640.05	259	3.25538
YAL047W-A	330	101.808	4.26909	0.864396
YAL048C	1989	1760.05	474.731	5.56009
YAL049C	741	512.046	1281	51.5701
YAL051W	3144	2915.05	540	3.81862
YAL053W	2352	2123.05	2972	28.8568
YAL054C	2142	1913.05	252	2.7154
YAL055W	543	314.079	361	23.6934
YAL056C-A	351	122.717	33.5133	5.62951
YAL056W	2643	2414.05	1051	8.9746
YAL058W	1509	1280.05	455.487	7.33514
YAL059C-A	423	194.161	0	0
YAL059W	639	410.046	540	27.1468
YAL060W	1149	920.046	3658	81.9582
YAL061W	1254	1025.05	501	10.0752
YAL062W	1374	1145.05	217.017	3.90686
YAL063C	3969	3740.05	476.438	2.62596
YAL063C-A	291	63.3193	2	0.651106
YAL064C-A	381	152.523	12.0284	1.62566
YAL064W	285	57.6098	1	0.357818
YAL064W-B	381	152.523	19.3627	2.6169
YAL065C	387	158.508	17.6622	2.29695
YAL066W	309	80.8525	0	0
YAL067C	1782	1553.05	26	0.345102
YAL067W-A	228	27.4519	6.27354	4.71084
YAL068C	363	134.654	5.09153	0.779449
YAL068W-A	255	32.2942	0	0
YAL069W	315	86.8274	0	0
YAR002C-A	660	431.046	3780	180.77
YAR002W	1620	1391.05	1402	20.7761
YAR003W	1281	1052.05	527	10.326
YAR007C	1866	1637.05	1591	20.034
YAR008W	828	599.046	201	6.91662
YAR009C	3591	3362.05	5215.93	31.9806
YAR010C	1323	1094.05	197.982	3.73033
YAR014C	2130	1901.05	1373	14.888
